HomeTeam,AwayTeam,Season,rugbypassURL,Round,HomeScore,AwayScore
exeter-chiefs,leicester,22/23,https://www.rugbypass.com/live/exeter-chiefs-vs-leicester/?g=932440,1,24,20
london-irish,worcester,22/23,https://www.rugbypass.com/live/london-irish-vs-worcester/?g=932441,1,45,14
newcastle,harlequins,22/23,https://www.rugbypass.com/live/harlequins-vs-newcastle/?g=932442,1,31,40
worcester,exeter-chiefs,22/23,https://www.rugbypass.com/live/exeter-chiefs-vs-worcester/?g=932449,2,21,36
bath,sale,22/23,https://www.rugbypass.com/live/bath-vs-sale/?g=932445,2,20,37
harlequins,saracens,22/23,https://www.rugbypass.com/live/harlequins-vs-saracens/?g=932446,2,27,30
leicester,newcastle,22/23,https://www.rugbypass.com/live/leicester-vs-newcastle/?g=932447,2,36,21
wasps,bristol,22/23,https://www.rugbypass.com/live/bristol-vs-wasps/?g=932448,2,8,23
northampton,london-irish,22/23,https://www.rugbypass.com/live/london-irish-vs-northampton/?g=932444,2,38,22
exeter-chiefs,harlequins,22/23,https://www.rugbypass.com/live/exeter-chiefs-vs-harlequins/?g=932455,3,43,42
bristol,london-irish,22/23,https://www.rugbypass.com/live/bristol-vs-london-irish/?g=932451,3,40,36
northampton,leicester,22/23,https://www.rugbypass.com/live/leicester-vs-northampton/?g=932452,3,21,41
saracens,gloucester,22/23,https://www.rugbypass.com/live/gloucester-vs-saracens/?g=932453,3,41,39
